what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394361936432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394361940477
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394362047896
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394362048104
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394362048264
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394362048472
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394362048738
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394362049202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394362052264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394362061571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1394362063725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394362064792
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1394362069887
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394362074685
error,log,,,"Errors occurred during the build.",1394362074750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394362074775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394362078558
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394362442416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394362447217
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394362450464
error,log,,,"Errors occurred during the build.",1394362450495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394362698001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394362700413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394362864746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394362894217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394362903844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394362905579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363052535
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363054890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363063517
opened,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1394363067752
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1394363067781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363068052
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openFileSearchPage",1394363068083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363068434
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363072409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363074126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363076856
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363080512
closed,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1394363080523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363083470
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1394363086430
opened,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1394363090460
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1394363090514
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363090579
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openFileSearchPage",1394363090624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363090914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363094561
error,log,,,"Problems encountered during text search.",1394363105278
opened,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363113369
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363113412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363120732
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363124279
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1394363151638
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363151658
closed,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1394363151678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363161525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363201614
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363210097
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363225022
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363234254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363237420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363276774
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1394363278540
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394363280352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363288138
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394363290267
error,log,,,"Errors occurred during the build.",1394363290382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363302138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363307478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363345758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363347967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363404845
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394363414700
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1394363415111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363417404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1394363417424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363423302
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363427828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394363434877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363439364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363440170
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363440834
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394363444580
error,log,,,"Errors occurred during the build.",1394363444615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363526066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363529682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363529807
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363534004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394363552273
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1394363552674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363554703
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394363560909
error,log,,,"Errors occurred during the build.",1394363560930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363674625
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363676885
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1394363678537
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394363679589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363684940
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394363689025
error,log,,,"Errors occurred during the build.",1394363689044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363756966
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363760823
closed,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363760824
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363763097
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363765676
closed,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363765676
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363768309
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1394363773657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363775570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1394363775592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363779462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394363784429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363786124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363786209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363787308
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394363792427
error,log,,,"Errors occurred during the build.",1394363792446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363793480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363795109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394363798566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394364438681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394364438920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394364602018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394364950123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394365006715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394365008049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394365091227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394365110386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394365111084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394365223119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394365223763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394365233215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394365682856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1394365682877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394365688844
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394365693186
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1394365693537
