what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394393193415
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1394393227270
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1394393227889
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1394393239778
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1394393386162
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1394393809419
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1394393809557
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394393809819
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1394393810774
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1394393812190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394393814146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394393821729
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394393822570
error,log,,,"Errors occurred during the build.",1394393822581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394393903819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394393911235
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1394393911255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394393913539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394393961152
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1394393965637
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394393969269
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394393971625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394393971647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394393971688
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394393980591
error,log,,,"Errors occurred during the build.",1394393980620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394394169662
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394394389089
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394394401981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1394394402003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394394408264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394394411045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394394413184
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394394419459
error,log,,,"Errors occurred during the build.",1394394419472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394394426619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394394429231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394394506100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1394394525780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1394394529724
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1394394531179
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1394394537281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1394394538108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1394394547169
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394394548349
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394394556559
error,log,,,"Errors occurred during the build.",1394394556596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394394563132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1394394563151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394394571788
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394394587234
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394394587377
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394394587542
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1394394587692
